go_id	go_desc
0050270	 S-adenosylhomocysteine deaminase activity 
0008986	 pyruvate, water dikinase activity 
0050242	 pyruvate, phosphate dikinase activity 
0047112	 pyruvate oxidase activity 
0050189	 phosphoenolpyruvate phosphatase activity 
0034604	 pyruvate dehydrogenase NAD+ activity 
0050243	 pyruvate dehydrogenase NADP+ activity 
0050244	 pyruvate oxidase CoA-acetylating activity 
0047766	 carbamoyl-serine ammonia-lyase activity 
0046553	 D-malate dehydrogenase decarboxylating activity 
0003986	 acetyl-CoA hydrolase activity 
0047777	 3S-citramalyl-CoA lyase activity 
0004349	 glutamate 5-kinase activity 
0047944	 glutamate 1-kinase activity 
0017168	 5-oxoprolinase ATP-hydrolyzing activity 
0004356	 glutamate-ammonia ligase activity 
0004021	 L-alanine2-oxoglutarate aminotransferase activity 
0004042	 acetyl-CoAL-glutamate N-acetyltransferase activity 
0008881	 glutamate racemase activity 
0050097	 methylaspartate mutase activity 
0050164	 oxoglutarate dehydrogenase NADP+ activity 
0004410	 homocitrate synthase activity 
0008683	 2-oxoglutarate decarboxylase activity 
0050162	 oxalate oxidase activity 
0003979	 UDP-glucose 6-dehydrogenase activity 
0003983	 UTPglucose-1-phosphate uridylyltransferase activity 
0050377	 UDP-glucose 4,6-dehydratase activity 
0016966	 nitric oxide reductase activity 
0047809	 D-2-hydroxy-acid dehydrogenase activity 
0050233	 pyranose oxidase activity 
0004346	 glucose-6-phosphatase activity 
0008877	 glucose-1-phosphatase activity 
0004344	 glucose dehydrogenase activity 
0004325	 ferrochelatase activity 
0047400	 phosphonoacetate hydrolase activity 
0050040	 lactate 2-monooxygenase activity 
0047601	 acetate kinase diphosphate activity 
0018773	 acetylpyruvate hydrolase activity 
0047776	 citramalate lyase activity 
0047593	 6-acetylglucose deacetylase activity 
0047917	 GDP-glucosidase activity 
0030603	 oxaloacetase activity 
0008730	 L+-tartrate dehydratase activity 
0047808	 D--tartrate dehydratase activity 
0004612	 phosphoenolpyruvate carboxykinase ATP activity 
0004736	 pyruvate carboxylase activity 
0008964	 phosphoenolpyruvate carboxylase activity 
0030585	 phosphoenolpyruvate carboxykinase diphosphate activity 
0003878	 ATP citrate synthase activity 
0019157	 malate oxidase activity 
0008815	 citrate pro-3S-lyase activity 
0050163	 oxaloacetate tautomerase activity 
0017174	 glycine N-methyltransferase activity 
0050305	 strombine dehydrogenase activity 
0008890	 glycine C-acetyltransferase activity 
0047303	 glycine-oxaloacetate transaminase activity 
0047612	 acid-CoA ligase GDP-forming activity 
0047636	 alanopine dehydrogenase activity 
0008784	 alanine racemase activity 
0016156	 fumarate reductase NADH activity 
0004775	 succinate-CoA ligase ADP-forming activity 
0004778	 succinyl-CoA hydrolase activity 
0046421	 methylisocitrate lyase activity 
0009017	 succinylglutamate desuccinylase activity 
0003977	 UDP-N-acetylglucosamine diphosphorylase activity 
0047004	 UDP-N-acetylglucosamine 6-dehydrogenase activity 
0003934	 GTP cyclohydrolase I activity 
0003935	 GTP cyclohydrolase II activity 
0004776	 succinate-CoA ligase GDP-forming activity 
0050029	 L-lysine oxidase activity 
0047091	 L-lysine 6-monooxygenase NADPH activity 
0050067	 lysine 2-monooxygenase activity 
0008836	 diaminopimelate decarboxylase activity 
0047827	 D-lysopine dehydrogenase activity 
0050065	 lysine-pyruvate 6-transaminase activity 
0045484	 L-lysine 6-transaminase activity 
0050066	 lysine 2,3-aminomutase activity 
0008923	 lysine decarboxylase activity 
0050028	 L-lysine-lactamase activity 
0047969	 glyoxylate oxidase activity 
0047968	 glyoxylate dehydrogenase acylating activity 
0004848	 ureidoglycolate hydrolase activity 
0004474	 malate synthase activity 
0050439	 2-hydroxy-3-oxoadipate synthase activity 
0019154	 glycolate dehydrogenase activity 
0050204	 oxalomalate lyase activity 
0047562	 3-hydroxyaspartate aldolase activity 
0004451	 isocitrate lyase activity 
0004072	 aspartate kinase activity 
0047478	 aspartate-ammonia ligase ADP-forming activity 
0050386	 ureidosuccinase activity 
0047427	 cyanoalanine nitrilase activity 
0017188	 aspartate N-acetyltransferase activity 
0047689	 aspartate racemase activity 
0004363	 glutathione synthase activity 
0050273	 S-succinylglutathione hydrolase activity 
0017103	 UTPgalactose-1-phosphate uridylyltransferase activity 
0047357	 UDP-galactose-UDP-N-acetylglucosamine galactose phosphotransferase activity 
0047900	 formate kinase activity 
0008863	 formate dehydrogenase NAD+ activity 
0047901	 formyl-CoA hydrolase activity 
0046564	 oxalate decarboxylase activity 
0004328	 formamidase activity 
0050129	 N-formylglutamate deformylase activity 
0018738	 S-formylglutathione hydrolase activity 
0004780	 sulfate adenylyltransferase ADP activity 
0047627	 adenylylsulfatase activity 
0008482	 sulfite oxidase activity 
0047966	 glycosulfatase activity 
0047951	 glutathione thiolesterase activity 
0008531	 riboflavin kinase activity 
0050257	 riboflavin phosphotransferase activity 
0004054	 arginine kinase activity 
0047678	 arginine 2-monooxygenase activity 
0008792	 arginine decarboxylase activity 
0047805	 cytidylate cyclase activity 
0047945	 L-glutaminepyruvate aminotransferase activity 
0047332	 diphosphate-serine phosphotransferase activity 
0004760	 serine-pyruvate transaminase activity 
0009001	 serine O-acetyltransferase activity 
0018834	 dichloromethane dehalogenase activity 
0018467	 formaldehyde dehydrogenase activity 
0050093	 methanol dehydrogenase activity 
0052876	 methylamine dehydrogenase amicyanin activity 
0050099	 methylglutamate dehydrogenase activity 
0008115	 sarcosine oxidase activity 
0008480	 sarcosine dehydrogenase activity 
0050134	 N6-methyl-lysine oxidase activity 
0009030	 thiamine-phosphate kinase activity 
0050333	 thiamin-triphosphatase activity 
0004091	 carboxylesterase activity 
0050024	 L-galactonolactone oxidase activity 
0047687	 ascorbate 2,3-dioxygenase activity 
0050094	 methionine-glyoxylate transaminase activity 
0008463	 formylmethionine deformylase activity 
0018111	 methionine racemase activity 
0050095	 methionine decarboxylase activity 
0008760	 UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity 
0050188	 phosphoenolpyruvate mutase activity 
0050156	 ornithine N-benzoyltransferase activity 
0047126	 N5-carboxyethylornithine synthase activity 
0004586	 ornithine decarboxylase activity 
0008473	 ornithine cyclodeaminase activity 
0009034	 tryptophanase activity 
0052684	 L-serine hydro-lyase adding indole, L-tryptophan-forming activity 
0050361	 tryptophan 2-monooxygenase activity 
0050365	 tryptophanamidase activity 
0047462	 phenylalanine racemase ATP-hydrolyzing activity 
0050173	 phenylalanine adenylyltransferase activity 
0050172	 phenylalanine 2-monooxygenase activity 
0047312	 L-phenylalaninepyruvate aminotransferase activity 
0050176	 phenylalanine N-acetyltransferase activity 
0080130	 L-phenylalanine2-oxoglutarate aminotransferase activity 
0047319	 aspartate-phenylpyruvate transaminase activity 
0008720	 D-lactate dehydrogenase activity 
0004754	 saccharopine dehydrogenase NAD+, L-lysine-forming activity 
0047130	 saccharopine dehydrogenase NADP+, L-lysine-forming activity 
0050371	 tyrosine phenol-lyase activity 
0050367	 tyrosine-arginine ligase activity 
0050368	 tyrosine 2,3-aminomutase activity 
0050078	 malonate CoA-transferase activity 
0050194	 phosphonoacetaldehyde hydrolase activity 
0050459	 ethanolamine-phosphate phospho-lyase activity 
0008701	 4-hydroxy-2-oxovalerate aldolase activity 
0050041	 lactate aldolase activity 
0004342	 glucosamine-6-phosphate deaminase activity 
0004360	 glutamine-fructose-6-phosphate transaminase isomerizing activity 
0004847	 urea carboxylase activity 
0047970	 guanidinoacetase activity 
0050385	 ureidoglycolate lyase activity 
0047660	 amidinoaspartase activity 
0018820	 cyanamide hydratase activity 
0047991	 hydroxylamine oxidase activity 
0052664	 nitroalkane oxidase activity 
0004575	 sucrose alpha-glucosidase activity 
0050308	 sugar-phosphatase activity 
0050307	 sucrose-phosphate phosphatase activity 
0050150	 o-pyrocatechuate decarboxylase activity 
0050223	 protocatechuate decarboxylase activity 
0047549	 2-nitrophenol 2-monooxygenase activity 
0003870	 5-aminolevulinate synthase activity 
0004494	 methylmalonyl-CoA mutase activity 
0047641	 aldose-6-phosphate reductase NADPH activity 
0047014	 glycerol-3-phosphate 1-dehydrogenase [NADP+] activity 
0004369	 glycerol-3-phosphate oxidase activity 
0004370	 glycerol kinase activity 
0047327	 glycerol-3-phosphate-glucose phosphotransferase activity 
0047221	 sn-glycerol-3-phosphate 2-alpha-galactosyltransferase activity 
0047279	 sn-glycerol-3-phosphate 1-galactosyltransferase activity 
0047734	 CDP-glycerol diphosphatase activity 
0047348	 glycerol-3-phosphate cytidylyltransferase activity 
0050085	 mannitol 2-dehydrogenase NADP+ activity 
0047904	 fructose 5-dehydrogenase activity 
0047061	 glucose-fructose oxidoreductase activity 
0050089	 mannose isomerase activity 
0047919	 GDP-mannose 6-dehydrogenase activity 
0008928	 mannose-1-phosphate guanylyltransferase GDP activity 
0004475	 mannose-1-phosphate guanylyltransferase activity 
0008446	 GDP-mannose 4,6-dehydratase activity 
0050456	 cystine reductase activity 
0017172	 cysteine dioxygenase activity 
0004357	 glutamate-cysteine ligase activity 
0047697	 beta-alanopine dehydrogenase activity 
0050117	 N-acetyl-beta-alanine deacetylase activity 
0047972	 guanidinopropionase activity 
0043957	 acryloyl-CoA reductase NADP+ activity 
0050440	 2-methylcitrate synthase activity 
0019142	 2-hydroxyglutarate synthase activity 
0016155	 formyltetrahydrofolate dehydrogenase activity 
0008864	 formyltetrahydrofolate deformylase activity 
0008705	 methionine synthase activity 
0008878	 glucose-1-phosphate adenylyltransferase activity 
0050190	 phosphoglucokinase activity 
0047344	 glucose-1-phosphate guanylyltransferase activity 
0008108	 UDP-glucosehexose-1-phosphate uridylyltransferase activity 
0047343	 glucose-1-phosphate cytidylyltransferase activity 
0004590	 orotidine-5-phosphate decarboxylase activity 
0004845	 uracil phosphoribosyltransferase activity 
0050382	 uracil-5-carboxylate decarboxylase activity 
0047857	 dihydrouracil oxidase activity 
0047671	 anthranilate adenylyltransferase activity 
0018672	 anthranilate 3-monooxygenase deaminating activity 
0018860	 anthranilate-CoA ligase activity 
0047528	 2,3-dihydroxyindole 2,3-dioxygenase activity 
0030774	 anthranilate N-methyltransferase activity 
0047673	 anthranilate N-malonyltransferase activity 
0008660	 1-aminocyclopropane-1-carboxylate deaminase activity 
0050438	 2-ethylmalate synthase activity 
0004123	 cystathionine gamma-lyase activity 
0004371	 glycerone kinase activity 
0047324	 phosphoenolpyruvate-glycerone phosphotransferase activity 
0016287	 glycerone-phosphate O-acyltransferase activity 
0050014	 ketotetrose-phosphate aldolase activity 
0004807	 triose-phosphate isomerase activity 
0008929	 methylglyoxal synthase activity 
0004103	 choline kinase activity 
0004102	 choline O-acetyltransferase activity 
0008812	 choline dehydrogenase activity 
0047754	 choline sulfotransferase activity 
0047753	 choline-sulfatase activity 
0008888	 glycerol dehydrogenase activity 
0047953	 glycerol 2-dehydrogenase NADP+ activity 
0047954	 glycerol-2-phosphatase activity 
0047331	 diphosphate-glycerol phosphotransferase activity 
0047955	 glycerol dehydrogenase acceptor activity 
0004749	 ribose phosphate diphosphokinase activity 
0050195	 phosphoribokinase activity 
0047345	 ribose-5-phosphate adenylyltransferase activity 
0050260	 ribose-5-phosphate-ammonia ligase activity 
0004730	 pseudouridylate synthase activity 
0004751	 ribose-5-phosphate isomerase activity 
0008886	 glyceraldehyde-3-phosphate dehydrogenase NADP+ (non-phosphorylating) activity 
0050354	 triokinase activity 
0008674	 2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity 
0004139	 deoxyribose-phosphate aldolase activity 
0009025	 tagatose-bisphosphate aldolase activity 
0004044	 amidophosphoribosyltransferase activity 
0004048	 anthranilate phosphoribosyltransferase activity 
0004076	 biotin synthase activity 
0050259	 ribose 1-dehydrogenase NADP+ activity 
0045437	 uridine nucleosidase activity 
0050261	 ribose isomerase activity 
0004333	 fumarate hydratase activity 
0004018	 N6-1,2-dicarboxyethylAMP AMP-lyase (fumarate-forming) activity 
0050076	 maleate isomerase activity 
0050050	 leucine N-acetyltransferase activity 
0052654	 L-leucine transaminase activity 
0050047	 leucine 2,3-aminomutase activity 
0004335	 galactokinase activity 
0052692	 raffinose alpha-galactosidase activity 
0045174	 glutathione dehydrogenase ascorbate activity 
0004163	 diphosphomevalonate decarboxylase activity 
0004452	 isopentenyl-diphosphate delta-isomerase activity 
0047723	 inosinate nucleosidase activity 
0004422	 hypoxanthine phosphoribosyltransferase activity 
0003920	 GMP reductase activity 
0004019	 adenylosuccinate synthase activity 
0047583	 4-methyloxaloacetate esterase activity 
0050106	 monomethyl-sulfatase activity 
0052930	 methanol ferricytochrome-c oxidoreductase activity 
0047811	 D-alanine gamma-glutamyltransferase activity 
0008716	 D-alanine-D-alanine ligase activity 
0050126	 N-carbamoylputrescine amidase activity 
0030750	 putrescine N-methyltransferase activity 
0047609	 acetylputrescine deacetylase activity 
0008783	 agmatinase activity 
0047981	 histidine N-acetyltransferase activity 
0008110	 L-histidine2-oxoglutarate aminotransferase activity 
0052707	 N-alpha,N-alpha,N-alpha-trimethyl-L-histidine biosynthesis from histidine 
0050182	 phosphate butyryltransferase activity 
0004085	 butyryl-CoA dehydrogenase activity 
0050441	 3-ethylmalate synthase activity 
0047727	 isobutyryl-CoA mutase activity 
0050112	 inositol 2-dehydrogenase activity 
0050113	 inositol oxygenase activity 
0030741	 inositol 1-methyltransferase activity 
0030740	 inositol 3-methyltransferase activity 
0030787	 inositol 4-methyltransferase activity 
0047395	 glycerophosphoinositol glycerophosphodiesterase activity 
0019164	 pyruvate synthase activity 
0050119	 N-acetylglucosamine deacetylase activity 
0045127	 N-acetylglucosamine kinase activity 
0050120	 N-acetylhexosamine 1-dehydrogenase activity 
0050122	 N-acylhexosamine oxidase activity 
0047932	 glucosamine N-acetyltransferase activity 
0047867	 dimethylmalate dehydrogenase activity 
0003852	 2-isopropylmalate synthase activity 
0052655	 L-valine transaminase activity 
0009042	 valine-pyruvate transaminase activity 
0004487	 methylenetetrahydrofolate dehydrogenase NAD+ activity 
0004488	 methylenetetrahydrofolate dehydrogenase NADP+ activity 
0050413	 D-alanine 2-hydroxymethyltransferase activity 
0052657	 guanine phosphoribosyltransferase activity 
0018799	 4-hydroxybenzoate decarboxylase activity 
0030736	 phenol O-methyltransferase activity 
0018112	 proline racemase activity 
0047406	 beta-aspartyl-N-acetylglucosaminidase activity 
0047558	 3-cyanoalanine hydratase activity 
0008112	 nicotinamide N-methyltransferase activity 
0019160	 NMN nucleosidase activity 
0047280	 nicotinamide phosphoribosyltransferase activity 
0047104	 hexadecanal dehydrogenase acylating activity 
0004758	 serine C-palmitoyltransferase activity 
0043768	 S-ribosylhomocysteine lyase activity 
0018664	 benzoate 4-monooxygenase activity 
0018859	 4-hydroxybenzoate-CoA ligase activity 
0018739	 4-hydroxybenzoyl-CoA thioesterase activity 
0008813	 chorismate lyase activity 
0047250	 4-hydroxybenzoate 4-O-beta-D-glucosyltransferase activity 
0047073	 2,4-dihydroxyacetophenone dioxygenase activity 
0018690	 4-methoxybenzoate monooxygenase O-demethylating activity 
0047576	 4-chlorobenzoate dehalogenase activity 
0047190	 2-acylglycerophosphocholine O-acyltransferase activity 
0080101	 phosphatidyl-N-dimethylethanolamine N-methyltransferase activity 
0047779	 citrate-CoA ligase activity 
0047780	 citrate dehydratase activity 
0052632	 citrate hydro-lyase cis-aconitate-forming activity 
0050569	 glycolaldehyde dehydrogenase activity 
0008967	 phosphoglycolate phosphatase activity 
0047772	 carboxymethyloxysuccinate lyase activity 
0047529	 2,3-dimethylmalate lyase activity 
0030729	 acetoacetate-CoA ligase activity 
0047603	 acetoacetyl-CoA hydrolase activity 
0004419	 hydroxymethylglutaryl-CoA lyase activity 
0003858	 3-hydroxybutyrate dehydrogenase activity 
0004334	 fumarylacetoacetase activity 
0047371	 butyrate-acetoacetate CoA-transferase activity 
0047602	 acetoacetate decarboxylase activity 
0047316	 glutamine-phenylpyruvate transaminase activity 
0047299	 tryptophan-phenylpyruvate transaminase activity 
0047350	 glucuronate-1-phosphate uridylyltransferase activity 
0048040	 UDP-glucuronate decarboxylase activity 
0050378	 UDP-glucuronate 4-epimerase activity 
0050379	 UDP-glucuronate 5-epimerase activity 
0047997	 hydroxypyruvate decarboxylase activity 
0008903	 hydroxypyruvate isomerase activity 
0050068	 lysine carbamoyltransferase activity 
0004070	 aspartate carbamoyltransferase activity 
0050231	 putrescine carbamoyltransferase activity 
0030196	 cyanide hydratase activity 
0047633	 agmatine kinase activity 
0047854	 diguanidinobutanase activity 
0018858	 benzoate-CoA ligase activity 
0047980	 hippurate hydrolase activity 
0047618	 acylagmatine amidase activity 
0047837	 D-xylose 1-dehydrogenase NADP+ activity 
0050390	 valine decarboxylase activity 
0050042	 lactate-malate transhydrogenase activity 
0047825	 D-lactate-2-sulfatase activity 
0050043	 lactate racemase activity 
0016995	 cholesterol oxidase activity 
0050295	 steryl-beta-glucosidase activity 
0034736	 cholesterol O-acyltransferase activity 
0008743	 L-threonine 3-dehydrogenase activity 
0018114	 threonine racemase activity 
0004305	 ethanolamine kinase activity 
0050373	 UDP-arabinose 4-epimerase activity 
0047940	 glucuronokinase activity 
0047939	 L-glucuronate reductase activity 
0047690	 aspartyltransferase activity 
0008668	 2,3-dihydroxybenzoyladenylate synthase activity 
0008667	 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity 
0047072	 2,3-dihydroxybenzoate 2,3-dioxygenase activity 
0045133	 2,3-dihydroxybenzoate 3,4-dioxygenase activity 
0047563	 3-hydroxybenzoate 2-monooxygenase activity 
0047572	 3-phosphoglycerate phosphatase activity 
0004618	 phosphoglycerate kinase activity 
0008887	 glycerate kinase activity 
0004083	 bisphosphoglycerate 2-phosphatase activity 
0050191	 phosphoglycerate kinase GTP activity 
0046562	 glucose oxidase activity 
0008974	 phosphoribulokinase activity 
0004750	 ribulose-phosphate 3-epimerase activity 
0019146	 arabinose-5-phosphate isomerase activity 
0047862	 diisopropyl-fluorophosphatase activity 
0047360	 undecaprenyl-phosphate galactose phosphotransferase activity 
0047929	 gluconate dehydratase activity 
0008789	 altronate dehydratase activity 
0008673	 2-dehydro-3-deoxygluconokinase activity 
0047000	 2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase activity 
0050009	 isopropanol dehydrogenase NADP+ activity 
0052921	 acetone-cyanohydrin acetone-lyase cyanide-forming activity 
0050203	 oxalate-CoA ligase activity 
0050161	 oxalate CoA-transferase activity 
0050127	 N-carbamoylsarcosine amidase activity 
0047866	 dimethylglycine oxidase activity 
0047865	 dimethylglycine dehydrogenase activity 
0016980	 creatinase activity 
0047814	 D-arabinokinase activity 
0047439	 3-deoxy-D-manno-octulosonate aldolase activity 
0047421	 N-acyl-D-glutamate deacylase activity 
0047820	 D-glutamate cyclase activity 
0050132	 N-methylalanine dehydrogenase activity 
0047943	 glutamate-methylamine ligase activity 
0047148	 methylamine-glutamate N-methyltransferase activity 
0050130	 N-methyl-2-oxoglutaramate hydrolase activity 
0050098	 methylguanidinase activity 
0047677	 arachidonate 8-lipoxygenase activity 
0004052	 arachidonate 12-lipoxygenase activity 
0047676	 arachidonate-CoA ligase activity 
0047565	 3-hydroxypropionate dehydrogenase NAD+ activity 
0047557	 3-aci-nitropropanoate oxidase activity 
0016207	 4-coumarate-CoA ligase activity 
0047634	 agmatine N4-coumaroyltransferase activity 
0047352	 adenylylsulfate-ammonia adenylyltransferase activity 
0018668	 3-hydroxybenzoate 4-monooxygenase activity 
0047120	 3S,4R-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase activity 
0047556	 3,4-dihydroxyphthalate decarboxylase activity 
0018621	 4-sulfobenzoate 3,4-dioxygenase activity 
0004856	 xylulokinase activity 
0047577	 4-hydroxybutyrate dehydrogenase activity 
0047863	 dimethylallylcistransferase activity 
0047933	 glucose-1,6-bisphosphate synthase activity 
0047153	 deoxycytidylate 5-hydroxymethyltransferase activity 
0050003	 deoxycytidylate C-methyltransferase activity 
0047822	 hypotaurine dehydrogenase activity 
0050325	 tauropine dehydrogenase activity 
0047761	 butyrate kinase activity 
0050287	 sorbose 5-dehydrogenase NADP+ activity 
0050035	 L-sorbose oxidase activity 
0050288	 sorbose dehydrogenase activity 
0047888	 fatty acid peroxidase activity 
0050235	 pyridoxal 4-dehydrogenase activity 
0050236	 pyridoxineNADP 4-dehydrogenase activity 
0047300	 pyridoxamine-pyruvate transaminase activity 
0019162	 pyridoxamine-oxaloacetate transaminase activity 
0004107	 chorismate synthase activity 
0004106	 chorismate mutase activity 
0046820	 4-amino-4-deoxychorismate synthase activity 
0008909	 isochorismate synthase activity 
0050138	 nicotinate dehydrogenase activity 
0008938	 nicotinate N-methyltransferase activity 
0050139	 nicotinate glucosyltransferase activity 
0004516	 nicotinate phosphoribosyltransferase activity 
0008977	 prephenate dehydrogenase activity 
0004665	 prephenate dehydrogenase NADP+ activity 
0050258	 riboflavinase activity 
0046316	 gluconokinase activity 
0050192	 phosphoglycerate phosphatase activity 
0050319	 tartrate decarboxylase activity 
0009702	 L-arabinokinase activity 
0032867	 L-arabinoseNADP reductase activity 
0008733	 L-arabinose isomerase activity 
0050179	 phenylserine aldolase activity 
0004413	 homoserine kinase activity 
0004414	 homoserine O-acetyltransferase activity 
0008899	 homoserine O-succinyltransferase activity 
0047440	 2-dehydro-3-deoxy-D-pentonate aldolase activity 
0008715	 CDP-diacylglycerol diphosphatase activity 
0008444	 CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity 
0003881	 CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity 
0047185	 N-acetylneuraminate 4-O-acetyltransferase activity 
0008747	 N-acetylneuraminate lyase activity 
0047040	 pteridine reductase activity 
0050478	 anthranilate 3-monooxygenase activity 
0050088	 mannose-6-phosphate 6-reductase activity 
0004615	 phosphomannomutase activity 
0048001	 erythrose-4-phosphate dehydrogenase activity 
0003849	 3-deoxy-7-phosphoheptulonate synthase activity 
0047096	 androst-4-ene-3,17-dione monooxygenase activity 
0050277	 sedoheptulokinase activity 
0047986	 hydrogen-sulfide S-acetyltransferase activity 
0008131	 primary amine oxidase activity 
0008832	 dGTPase activity 
0047680	 aryl-acylamidase activity 
0050158	 orotate reductase NADPH activity 
0052888	 dihydroorotate oxidase fumarate activity 
0004152	 dihydroorotate dehydrogenase activity 
0004589	 orotate reductase NADH activity 
0030266	 quinate 3-dehydrogenase NAD+ activity 
0047519	 quinate dehydrogenase quinone activity 
0047080	 deoxyuridine 2-dioxygenase activity 
0004111	 creatine kinase activity 
0050187	 phosphoamidase activity 
0030731	 guanidinoacetate N-methyltransferase activity 
0047789	 creatininase activity 
0008910	 kanamycin kinase activity 
0047663	 aminoglycoside 6-N-acetyltransferase activity 
0047493	 ceramide cholinephosphotransferase activity 
0050255	 ribitol 2-dehydrogenase activity 
0046526	 D-xylulose reductase activity 
0047828	 D-lyxose ketol-isomerase activity 
0052633	 isocitrate hydro-lyase cis-aconitate-forming activity 
0050019	 L-arabinitol 4-dehydrogenase activity 
0050038	 L-xylulose reductase NADP+ activity 
0047842	 dehydro-L-gulonate decarboxylase activity 
0008949	 oxalyl-CoA decarboxylase activity 
0047231	 pyridoxine 5-O-beta-D-glucosyltransferase activity 
0052896	 spermidine oxidase propane-1,3-diamine-forming activity 
0047041	 S-carnitine 3-dehydrogenase activity 
0047773	 carnitinamidase activity 
0008735	 carnitine dehydratase activity 
0047258	 sphingosine beta-galactosyltransferase activity 
0047354	 sphingosine cholinephosphotransferase activity 
0047401	 trithionate hydrolase activity 
0004792	 thiosulfate sulfurtransferase activity 
0047550	 2-oxoadipate reductase activity 
0047536	 2-aminoadipate transaminase activity 
0047174	 putrescine N-hydroxycinnamoyltransferase activity 
0047168	 isocitrate O-dihydroxycinnamoyltransferase activity 
0047341	 fucose-1-phosphate guanylyltransferase activity 
0047315	 kynurenine-glyoxylate transaminase activity 
0004502	 kynurenine 3-monooxygenase activity 
0004138	 deoxyguanosine kinase activity 
0047722	 indolelactate dehydrogenase activity 
0004421	 hydroxymethylglutaryl-CoA synthase activity 
0047912	 galacturonokinase activity 
0050388	 uronate dehydrogenase activity 
0047971	 guanidinobutyrase activity 
0004151	 dihydroorotase activity 
0004337	 geranyltranstransferase activity 
0050437	 --endo-fenchol synthase activity 
0050469	 sabinene-hydrate synthase activity 
0047926	 geranyl-diphosphate cyclase activity 
0050551	 myrcene synthase activity 
0004791	 thioredoxin-disulfide reductase activity 
0004604	 phosphoadenylyl-sulfate reductase thioredoxin activity 
0017057	 6-phosphogluconolactonase activity 
0004456	 phosphogluconate dehydratase activity 
0000234	 phosphoethanolamine N-methyltransferase activity 
0047305	 R-3-amino-2-methylpropionate-pyruvate transaminase activity 
0004609	 phosphatidylserine decarboxylase activity 
0004608	 phosphatidylethanolamine N-methyltransferase activity 
0004343	 glucosamine 6-phosphate N-acetyltransferase activity 
0008966	 phosphoglucosamine mutase activity 
0004311	 farnesyltranstransferase activity 
0050449	 casbene synthase activity 
0009905	 ent-copalyl diphosphate synthase activity 
0047309	 dihydroxyphenylalanine transaminase activity 
0042282	 hydroxymethylglutaryl-CoA reductase activity 
0004420	 hydroxymethylglutaryl-CoA reductase NADPH activity 
0047994	 hydroxymethylglutaryl-CoA hydrolase activity 
0004490	 methylglutaconyl-CoA hydratase activity 
0004136	 deoxyadenosine kinase activity 
0004799	 thymidylate synthase activity 
0050403	 trans-zeatin O-beta-D-glucosyltransferase activity 
0050404	 zeatin O-beta-D-xylosyltransferase activity 
0004744	 retinal isomerase activity 
0050334	 thiaminase activity 
0019165	 thiamine kinase activity 
