auto_clan	clan_description	number_archs	group_concat(distinct(pfamnr))	clan_comment
13	Serine beta-lactamase-like superfamily	253	PF04960,PF00905,PF00144,PF00768,PF02113,PF07930,PF13354	This superfamily contains proteins that have a beta-lactamase fold.  This includes beta-lactamases as well as Dala-Dala carboxypeptidases and glutaminases.
14	Class-I Glutamine amidotransferase superfamily	360	PF01965,PF00117,PF04204,PF03575,PF01174,PF06283,PF07090,PF07685,PF07722,PF08532,PF09825,PF13278,PF13507	Most members of this clan are glutaminase enzymes. This superfamily is shown to be related in [1]. The clan also contains the DJ-1/PfpI family that includes the peptidase PfpI that has a catalytic Cys-His-Glu triad that differs from the class I GAT Cys-His-Glu triad.
15	Major Facilitator Superfamily	658	PF03092,PF02487,PF01733,PF03137,PF01770,PF03239,PF01306,PF03825,PF00854,PF03209,PF00083,PF03219,PF05631,PF05977,PF05978,PF06609,PF06779,PF06813,PF06963,PF07672,PF07690,PF11700,PF12832,PF13000,PF13347	The major facilitator superfamily (MFS) is one of the two largest families of membrane transporters found on Earth [1]. It is present ubiquitously in bacteria, archaea, and eukarya and includes members that can function by solute uniport, solute/cation symport, solute/cation antiport and/or solute/solute antiport with inwardly and/or outwardly directed polarity [1]. All permeases of the MFS possess either 12 or 14 transmembrane helices [1].
16	Protein kinase superfamily	5122	PF03109,PF02958,PF01163,PF01636,PF04655,PF01633,PF03881,PF00069,PF05445,PF06176,PF06293,PF06734,PF07387,PF07714,PF07914,PF10009,PF10707	This superfamily includes the Serine/Threonine- and Tyrosine- protein kinases as well as related kinases that act on non-protein substrates.
18	bZIP-like leucine zipper	81	PF03131,PF00170,PF07716	This family of eukaryotic transcription factors contain a basic region adjacent to a leucine zipper.
20	Tetratrico peptide repeat superfamily	16388	PF00514,PF03704,PF03378,PF04826,PF02184,PF03810,PF05004,PF02847,PF02854,PF01535,PF00515,PF01602,PF03377,PF00637,PF01394,PF04733,PF04910,PF02259,PF02985,PF03130,PF01749,PF01816,PF02071,PF01851,PF00613,PF00806,PF04184,PF04050,PF03224,PF01347,PF02020,PF05419,PF05484,PF05536,PF05804,PF05843,PF05918,PF06367,PF06371,PF06552,PF07219,PF07719,PF07720,PF07721,PF07980,PF08238,PF08321,PF08389,PF08506,PF08569,PF08631,PF08713,PF08767,PF08852,PF09088,PF09090,PF09127,PF09246,PF09268,PF09295,PF09311,PF09986,PF10037,PF10255,PF10274,PF10300,PF10345,PF10363,PF10366,PF10373,PF10508,PF10516,PF10579,PF10602,PF11698,PF11817,PF11865,PF11940,PF12348,PF12569,PF12688,PF12717,PF12719,PF12741,PF12753,PF12755,PF12765,PF12771,PF12854,PF12862,PF12895,PF12968,PF13041,PF13174,PF13176,PF13181,PF13371,PF13374,PF13414,PF13424,PF13428,PF13429,PF13431,PF13432,PF13512,PF13513,PF13525,PF13646,PF13812,PF14322	Tetratricopeptide-like repeats are found in a numerous and diverse proteins involved in such functions as cell cycle regulation, transcriptional control, mitochondrial and peroxisomal protein transport, neurogenesis and protein folding.
21	OB fold	763	PF00313,PF00436,PF03459,PF01938,PF01336,PF01588,PF03120,PF02721,PF01796,PF04076,PF01132,PF01176,PF01287,PF03319,PF03919,PF02303,PF04057,PF00181,PF00164,PF00366,PF03870,PF01330,PF00575,PF02765,PF07497,PF07717,PF08206,PF08292,PF08402,PF08661,PF09883,PF10447,PF10451,PF11325,PF11967,PF12857,PF12869,PF13114,PF13376,PF13509,PF13742,PF14444	The OB (oligonucleotide/oligosaccharide binding) was defined by Murzin [1]. The common part of the OB-fold, has a five-stranded beta-sheet coiled to form a closed beta-barrel. This barrel is capped by an alpha-helix located between the third and fourth strands [1].
22	Leucine Rich Repeat	7154	PF03382,PF00560,PF05725,PF07723,PF07725,PF12799,PF13306,PF13504,PF13516,PF13855	Each Leucine Rich Repeat is composed of a beta-alpha unit. These units form elongated non-globular structures. Leucine Rich Repeats are often flanked by cysteine rich domains.  This Pfam entry contains Leucine Rich Repeats not recognised by the Pfam:PF00560 model.
23	P-loop containing nucleoside triphosphate hydrolase superfamily	9565	PF00004,PF03029,PF02492,PF00270,PF03796,PF05127,PF00009,PF00271,PF00225,PF03354,PF02463,PF00448,PF00685,PF03567,PF01591,PF00005,PF02456,PF00709,PF00406,PF03969,PF04548,PF01583,PF01637,PF00025,PF03308,PF02374,PF00006,PF00308,PF01656,PF01121,PF02572,PF02283,PF02224,PF02499,PF02500,PF01712,PF03193,PF03237,PF03266,PF03976,PF04317,PF04326,PF01935,PF00350,PF00519,PF04257,PF02421,PF00142,PF01268,PF01580,PF00503,PF04466,PF02263,PF00437,PF00735,PF04670,PF00625,PF02689,PF02399,PF05049,PF01715,PF01745,PF01695,PF02606,PF00493,PF01078,PF01926,PF03205,PF04310,PF00488,PF00063,PF00931,PF01057,PF02562,PF04665,PF00485,PF03215,PF00071,PF00154,PF04851,PF00910,PF00158,PF01202,PF00176,PF02223,PF00265,PF00693,PF02534,PF03668,PF02367,PF00580,PF01443,PF05272,PF05496,PF05621,PF05625,PF05673,PF05707,PF05729,PF05783,PF05872,PF05876,PF05879,PF05894,PF05970,PF06048,PF06068,PF06144,PF06309,PF06414,PF06418,PF06431,PF06548,PF06564,PF06733,PF06745,PF06858,PF06862,PF06990,PF07015,PF07088,PF07517,PF07652,PF07693,PF07724,PF07726,PF07728,PF07755,	AAA family proteins often perform chaperone-like functions that assist in the assembly, operation, or disassembly of protein complexes [2].
25	His Kinase A (phospho-acceptor) domain	4743	PF02518,PF00512,PF07536,PF07568,PF07730,PF10090,PF13581,PF13589	This is the dimerisation and phospho-acceptor domain of a sub-family of histidine kinases. It shares sequence similarity with Pfam:PF00512 and Pfam:PF07536. It is usually found adjacent to a C-terminal ATPase domain (Pfam:PF02518). This domain is found in a wide range of Bacteria and also several Archaea.  It comprises one of the fundamental units of the two-component signal transduction system [2-7].
26	Multicopper oxidase-like domain	199	PF00394,PF00812,PF00127,PF00116,PF02298,PF06525,PF07731,PF07732,PF13473	Many of the proteins in this family contain multiple similar  copies of this plastocyanin-like domain.
27	RNA dependent RNA polymerase	1442	PF02123,PF00078,PF00972,PF00680,PF00978,PF00998,PF05919,PF07727	This clan represents the replicative  RNA dependent RNA polymerase. from a variety of RNA viruses [1].
28	Alpha/Beta hydrolase fold	1820	PF04083,PF00135,PF05057,PF01764,PF03096,PF00561,PF02230,PF02273,PF01083,PF01738,PF03959,PF04301,PF00756,PF02450,PF03583,PF00151,PF01674,PF03403,PF02089,PF02129,PF00326,PF00450,PF00975,PF05277,PF05448,PF05576,PF05577,PF05677,PF05705,PF05728,PF05990,PF06028,PF06057,PF06259,PF06342,PF06441,PF06500,PF06821,PF06850,PF07082,PF07167,PF07176,PF07224,PF07519,PF07819,PF07859,PF08237,PF08386,PF08538,PF08840,PF09752,PF09757,PF10142,PF10230,PF10340,PF10503,PF11144,PF11187,PF11288,PF11339,PF12048,PF12146,PF12695,PF12697,PF12715,PF12740	This catalytic domain is found in a very wide range of enzymes.
29	Cupin fold	949	PF03171,PF03079,PF05118,PF00190,PF02373,PF02311,PF02041,PF00908,PF02678,PF04074,PF04209,PF04962,PF01050,PF03336,PF02668,PF05523,PF05721,PF05726,PF05899,PF05962,PF05995,PF06052,PF06172,PF06249,PF06339,PF06560,PF06719,PF06865,PF07350,PF07385,PF07847,PF07883,PF08007,PF01238,PF08487,PF08943,PF09313,PF09859,PF10637,PF11699,PF12851,PF12852,PF12933,PF12973,PF13532,PF13621,PF13640,PF13661,PF13757,PF13759	This clan represents the conserved barrel domain of the 'cupin' superfamily [1] ('cupa' is the Latin term for a small barrel). The cupin fold is found in a wide variety of enzymes, but notably contains the non-enzymatic seed storage proteins also.
30	Ion channel (VIC) superfamily	623	PF00520,PF01007,PF00060,PF03814,PF02386,PF07885,PF08016	This superfamily contains a diverse range of ion channels that share a pair of transmembrane helices in common. This clan is classified as the VIC (Voltage-gated Ion Channel) superfamily in TCDB.
31	Phosphatase superfamily	392	PF00782,PF04179,PF00102,PF03162,PF04273,PF05706,PF13350,PF13849	This family includes tyrosine and dual specificity phosphatase enzymes.
32	Dimeric alpha/beta barrel superfamily	157	PF01037,PF04261,PF03992,PF02426,PF03927,PF03795,PF05336,PF05949,PF06778,PF07045,PF07110,PF07682,PF07876,PF07978,PF09448,PF11695,PF13816,PF13826	This superfamily of proteins possess a Ferredoxin-like fold. Pairs of these assemble into a beta barrel.  The function of this barrel is quite varied and includes Muconolactone isomerase as well as monooxygenases.
33	POZ domain superfamily	838	PF00651,PF02214,PF03931,PF07707,PF11822	The POZ domain is found in a variety of transcription factors.  POZ domains are also found in the tetramerisation domain of voltage gated K+ channels. In general these domains mediate homo-oligomerisation.
34	Amidohydrolase superfamily	353	PF00962,PF02811,PF01979,PF04909,PF02126,PF01244,PF01876,PF01026,PF00449,PF07969,PF12228,PF12890,PF13147,PF13263,PF13594	This family includes a large family of metal dependent amidohydrolase enzymes [1].
35	Peptidase clan MH/MC/MF	441	PF01520,PF02127,PF01546,PF04389,PF00246,PF04952,PF00883,PF05343,PF05450,PF07454,PF09940,PF10994	This clan contains peptidases belonging to MEROPS clan MH, MC and MF.  We also include Nicastrin that is part of the gamma secretase complex and not known to be a peptidase.
36	Common phosphate binding-site TIM barrel superfamily	822	PF01168,PF03437,PF04898,PF00478,PF04095,PF03102,PF03060,PF00215,PF01729,PF00490,PF01081,PF01261,PF03599,PF03932,PF00793,PF01791,PF00701,PF01180,PF01487,PF04476,PF04481,PF05114,PF01207,PF01116,PF01070,PF04309,PF01645,PF00977,PF00682,PF00218,PF02007,PF04131,PF02784,PF00724,PF01884,PF03740,PF00697,PF00809,PF00834,PF01680,PF00121,PF02581,PF00923,PF00290,PF03851,PF03786,PF05690,PF06134,PF06187,PF06415,PF07071,PF08013,PF09370,PF10143,PF13615	This large superfamily of TIM barrel enzymes all contain a common phosphate binding site. The phosphate is found in a variety of cofactors and ligands such as FMN [1,2].
37	Lysozyme-like superfamily	452	PF01832,PF00182,PF01374,PF00062,PF00959,PF01464,PF05838,PF06737,PF06871,PF10715,PF13406,PF13702	Barley chitinase, bacterial chitosanase, and lysozymes from phage and animals all hydrolyse related polysaccharides. The proteins little amino-acid similarity, but have a structurally invariant core consisting of two helices and a three-stranded beta-sheet which form the substrate-binding and catalytic cleft [1].
39	HUP - HIGH-signature proteins, UspA, and PP-ATPase.	691	PF00875,PF00579,PF00764,PF00733,PF01747,PF01467,PF01902,PF01012,PF02540,PF02569,PF01507,PF02568,PF00133,PF00749,PF00750,PF01406,PF01921,PF03054,PF01171,PF00582,PF05636,PF06508,PF06574,PF08218,PF09334,PF13603	The HUP class contains the HIGH-signature proteins, UspA superfamily and the PP-ATPase superfamily [1]. The HIGH superfamily has the HIGH Nucleotidyl transferases and the class I tRNA synthetases both of  which have the HIGH and the KMSKS motif [1],[2]. The PP-loop ATPase  named after the ATP PyroPhosphatase domain, was initially  identified as a conserved amino acid sequence motif in four distinct groups of enzymes that catalyse the hydrolysis of the alpha-beta phosphate bond of ATP, namely GMP synthetases, argininosuccinate synthetases, asparagine synthetases, and ATP sulfurylases [3]. The USPA superfamily  contains USPA, ETFP and Photolyases [1]
40	Class II aminoacyl-tRNA and Biotin synthetases	270	PF03099,PF01409,PF03590,PF04424,PF00152,PF00587,PF01411,PF02091,PF13393	Aminoacyl-tRNA synthetases are key components of the protein translation  machinery that catalyse two basic reactions. First, the activation of  amino acids via the formation of aminoacyl adenylates and second, linking the activated amino acid to the cognate tRNAs. The aminoacyl-tRNA synthetases generate AMP as the second end product of this reaction, which differentiates them from the majority of ATP-dependent enzymes that produce ADP. In addition, there is a specific  aminoacyl-tRNA synthetases for each of the 20 amino acids and there are  two structurally distinct classes of aminoacyl-tRNA synthetases, each\t\t  encompassing 10 different specificities. The two classes have alternative modes of aminoacylation: class I aminoacylate the 2'OH of the cognate tRNA; class II aminoacylate 3'OH (with the exception of PheRS). Each class contain a conserved core domain  that is involved in ATP binding and hydrolysis and combines with  additional domains that determine the specificity of interactions with\t       the cognate amino acid and tRNA.  The class II core domain consist of a mixed-beta sheet, similar to that found in the biotin synthetases, hence why this family has also been included in  this clan.  The core domain contains three modestly conserved motifs  that are responsible for ATP binding.  The class II aminoacyl-tRNA  synthetases can contain additional nested domains, found inserted in the loops of the core domain [1] (and  reference therein).
41	Death Domain Superfamily	451	PF00531,PF00619,PF01335,PF02758	The death domain superfamily is composed of three families: the death domain (DD); the death effector domain (DED) and the caspase recruitment domain (CARD).  All of the members perform a pivotal role in signalling events that regulate apoptosis.   Protein-protein interactions are mediated by self-self associations, in which CARD-CARD, DD-DD and  DED-DED contacts are formed exclusively The three families possess remarkably similar structures, each comprising an antiparallel six helical bundle in the Greek Key topology.  Structurally, the DD and CARD families are the most dissimilar.  The former is comprised of two perpendicular three-helix bundles, whereas the latter CARD domain contains six helices that are almost parallel with each other.  Interestingly, the interactions in CARD or DD containing heterodimers are quite different [1]. 
42	Flavoprotein	189	PF00258,PF03358,PF02525,PF07972,PF12641,PF12682,PF12724	Members of this clan are FMN or FAD-binding redox proteins.  Flavoproteins act in various electron-transport systems as  functional analogues of ferredoxin.  They are characterised by an open twisted alpha/beta structure consisting of five parallel  beta-sheets connected by alpha-helices which surround the sheet.
43	Chelatase Superfamily	36	PF01903,PF00762,PF06180	Metallated tetrapyrroles are used as prosthetic groups in  proteins involved in biologically important processes such as  photosynthesis, oxygen transport, drug metabolism and  nitric oxide synthesis. In living organisms, metallation is catalysed  by a group of enzymes called chelatases. This clan contains  ferrochelatase (heme) and cobalt chelatase [1]. 
44	Ferritin-like Superfamily	103	PF03713,PF00210,PF03232,PF03405,PF05067,PF05138,PF02332,PF00268,PF02915,PF05974,PF06175,PF07875,PF09537,PF09968,PF12902,PF13628,PF13668,PF13794	The members of this clan all share a distinctive four helical bundle. The four helices are arranged antiparallel with a left-handed twist. This helical bundle is distinguished from others by the long connection between the second and third helices.  Some of the members contain a Fe or Mn dimer at the centre of the helical bundle.  The ferritin fold was first described by Murzin AG and Chothia C, Cur Opin Struc Biol 1992, 2:895-903.
45	Rubredoxin-like	43	PF00301,PF01215,PF06397,PF10276	The Rubredoxin clan is comprised of three families:Rubredoxin, COX5B and desulforedoxin.Rubredoxin domains are small domains  (5-6 kDa) and bind one iron atom tetrahedrally bound by four cysteine  residues.Similar, desulforedoxin domains are small (4 kDa), but  usually form homodimers.  Each monomer binds one iron atom, but in  a distorted tetrahedral arrangement.  COX5B domains are membrane-anchored  rubredoxin-like domains. The domain in the Rubredoxin clan are usually comprised of 2 alpha helixes and 2-3 beta strands.
46	Thiolase-like Superfamily	1337	PF00109,PF02801,PF00195,PF02797,PF01154,PF00108,PF02803,PF07451,PF08392,PF08540,PF08541,PF08545,PF13723	Thiolases are ubiquitous and form a large superfamily. Thiolases can function either degradatively, in the beta-oxidation  pathway of fatty acids, or biosynthetically. Biosynthetic thiolases  catalyse the formation of acetoacetyl-CoA from two molecules of  acetyl-CoA . This is one of the fundamental categories of carbon  skeletal assembly patterns in biological systems and is the first step  in a wide range of biosynthetic pathways [1].  Thiolase are usually dimeric or tetrameric enzymes.  Within each monomer there are two similar domains related by pseudo dyad.  The N-terminal of these two domains contains a large insertion of about 100 amino  acids.
47	Copper amine oxidase, domains 1 and 2	24	PF02727,PF02728	Copper amine oxidase (CuAO) are comprised of three of four domains. In the case of the four domain CuAO, the N-terminal domain (termed N1, and is not present in the three domain CuAO) and the C-terminal catalytic domain sandwich two repeated domains (termed N2 and N3).  The function of these two homologous domains is uncertain.  N2 and N3 both have a cystatin-like fold [1].
48	Lipoprotein localisation factors LolA/B	5	PF03548,PF03550	Gram-negative bacteria lipoproteins are anchored to the periplasmic  surface of the inner or outer membrane depending on the sorting signal, which is the residue at position 2 of the polypeptide. Five Lol proteins  are involved in the sorting and membrane localisation of lipoprotein. An ATP-binding cassette (ABC) transporter, LolCDE, releases outer  membrane-specific lipoproteins from the inner membrane, causing the  formation of a complex between the released lipoproteins and the  periplasmic molecular chaperone LolA. When this complex interacts with  outer membrane receptor LolB, the lipoproteins are transferred from LolA  to LolB and then localised to the outer membrane. The structures of LolA  and LolB are remarkably similar to each other. Both have a hydrophobic  cavity consisting of an unclosed beta-barrel and an alpha-helical  lid [1,2].
49	Tudor domain 'Royal family'	521	PF02820,PF00567,PF02294,PF00385,PF01393,PF00855,PF05641,PF06003,PF07039,PF08605,PF09038,PF11717	This clan covers the Tudor domain 'royal family' [1]. This includes chromo, MBT, PWWP and tudor domains.  The chromo domain is a comprised of approximately 50 amino acid residues. There are usually one to three Chromo domains found in a single protein. In some chromo domain containing proteins, a second related chromo domain has been found and is referred to as the Chromo-shadow domain.  The structure of the Chromo and Chromo-shadow domains reveal an OB-fold, a fold found in a variety of prokaryotic and eukaryotic nucleic acid binding proteins.\tMore specifically,the chromo-domain structure reveals a three beta strands that are packed against an alpha helix. Interestingly, a similar structure is found in the archaeal chromatin proteins (7kDa DNA-binding domain).  These are sequence neutral DNA binding proteins.\tThe DNA binding in these archaeal proteins is mediated through the triple stranded beta sheet. These archaeal domains are though to represent an ancestral chromo domain. Homologs of the chromo domain have been found in fission yeast, ciliated protozoa and all animal species, but appear to be absent in eubacteria, budding yeast and plants [2]. The precise function of the chromo domain is unclear, but the chromo domain is thought to act as a targeting module for chromosomal proteins, although the chromosomal contexts and functional contexts being targeted vary.  In all cases studies, the chromo domains are found in proteins that are involved in transcription regulation, positive and negative [2].
50	HotDog superfamily	196	PF03061,PF01643,PF02551,PF03756,PF01575,PF07977,PF09500,PF10862,PF13279,PF13452,PF13622	The HotDog fold was first observed in the structure of Escherichia coli beta-hydroxydecanoyl thiol ester dehydratase (FabA), where Leesong et al. noticed that each subunit of this dimeric enzyme contained a mixed alpha + beta 'hot dog' fold. They described the seven-stranded antiparallel beta-sheet as the 'bun', which wraps around a five-turn alpha-helical 'sausage', This superfamily contains a diverse range of enzymes. Membership includes numerous prokaryotic, archaeal and eukaryotic proteins involved in several related, but distinct, catalytic activities, from metabolic roles such as thioester hydrolysis in fatty acid metabolism, to degradation of phenylacetic acid and the environmental pollutant 4-chlorobenzoate. The superfamily also includes FapR, a non-catalytic bacterial homologue that is involved in transcriptional regulation of fatty acid biosynthesis [1].
51	NTF2-like superfamily	259	PF00866,PF04280,PF02136,PF03284,PF02982,PF04335,PF05223,PF07080,PF07107,PF07366,PF07858,PF07961,PF08332,PF10184,PF10429,PF11533,PF12680,PF12707,PF12870,PF12893,PF13474,PF13577	This superfamily contains a variety of enzymes such as Scytalone dehydratase, Delta-5-3-ketosteroid isomerase, Limonene-1,2-epoxide hydrolase among others. The family also includes presumed non-enzymatic homologues such as NTF2.
52	NTN hydrolase superfamily	211	PF01019,PF04916,PF01804,PF00227,PF03417,PF01112,PF02275,PF00310,PF03577,PF09147,PF12481,PF13230,PF13522,PF13537	In the N-terminal nucleophile aminohydrolases (Ntn hydrolases) the N-terminal residue provides two catalytic groups, nucleophile and proton donor. These enzymes use the side chain of the amino-terminal residue, incorporated in a beta-sheet, as the nucleophile in the catalytic attack at the carbonyl carbon. The nucleophile is cysteine in GAT, serine in penicillin acylase, and threonine in the proteasome. All the enzymes share an unusual fold in which the nucleophile and other catalytic groups occupy equivalent sites. This fold provides both the capacity for nucleophilic attack and the possibility of autocatalytic processing [1].
53	4-helical cytokine superfamily	29	PF02404,PF01110,PF00758,PF02947,PF01109,PF00103,PF00714,PF00726,PF03039,PF00715,PF02059,PF00727,PF02025,PF00489,PF00143,PF03487,PF02024,PF01291,PF06875,PF07400	Cytokines are regulatory peptides that can be produced by various cells for communicating and orchestrating the large multicellular system. Cytokines are key mediators of hematopoiesis, immunity, allergy, inflammation, tissue remodeling, angiogenesis, and embryonic development [2]. This superfamily includes both the long and short chain helical cytokines.
54	Scorpion toxin-like knottin superfamily	11	PF01097,PF00304,PF00451,PF00537,PF05294,PF06876,PF07333,PF08086,PF10868,PF11415	This clan includes a number of toxin families that share the knottin structure. These families come from scorpions, plants and arthropods.
55	Positive stranded ssRNA viruses coat protein	126	PF01766,PF01318,PF00915,PF02443,PF02247,PF00760,PF00894,PF03391,PF03566,PF01829,PF00073,PF03014,PF02956,PF00983,PF00729,PF08762,PF11729	The clan contains a set of viral coat protein families and peptidase A6. The only known peptidase  activity is an autolytic cleavage releasing a 44-residue  C-terminal fragment. The reaction is very slow and only occurs  within the assembled virion. There is debate whether this is actually a true peptidase. The virion with these coat or capsid\tproteins are icosahedral viruses containing sixty triangular  coat protein units, each unit consisting of three proteins. The coat  protein consists of two subdomains, an eight-stranded beta-barrel on  the surface and a three-helix bundle on the inner face.
56	C-type lectin-like superfamily	547	PF03440,PF01413,PF00059,PF00193,PF05473,PF05966,PF07979	This clan contains domains that have a C-type lectin fold.  Many of these are known or expected to  mediate interactions with sugars.
57	MetJ/Arc repressor superfamily	75	PF01402,PF03869,PF01340,PF04221,PF03693,PF05509,PF05534,PF07362,PF07704,PF07764,PF07878,PF08681,PF09274,PF09386,PF09957,PF10723,PF11020,PF11903,PF12651,PF13062,PF13467	This superfamily contains the MetJ and Arc repressors that feature a ribbon-helix-helix DNA-binding motif with the beta-ribbon located in and recognising the major groove of operator DNA [1].
58	Tim barrel glycosyl hydrolase superfamily	1976	PF00150,PF00704,PF02055,PF01055,PF05089,PF02446,PF00128,PF01120,PF02638,PF03537,PF03198,PF00232,PF00331,PF01373,PF00332,PF00728,PF01183,PF02156,PF02836,PF00933,PF01301,PF01229,PF02449,PF01630,PF02057,PF02324,PF03662,PF02065,PF05691,PF07555,PF07745,PF10566,PF11308,PF11790,PF12876,PF12888,PF12891,PF12905,PF13199,PF13200,PF13204	This large superfamily contains a range of glycosyl hydrolase enzymes that possess a TIM barrel fold. This CLAN merges clans GH-A, GH-D, GH-H and GH-K from CAZy.
59	Six-hairpin glycosidase superfamily	693	PF04685,PF01532,PF03200,PF03663,PF01122,PF00723,PF02011,PF03632,PF01270,PF00759,PF00432,PF01204,PF05592,PF06202,PF06662,PF06824,PF07221,PF07470,PF07678,PF07944,PF09492,PF10091,PF10988,PF12899,PF13243,PF13249,PF13345,PF13349	This Clan includes CAZy clans GH-L, GH-M and GH-G. The members of this clan share a common structure composed of 6 helical hairpins. Most members of this superfamily are glycosyl hydrolase enzymes.
