pfamnr	pfamdesc	interpronr	interprodesc
PF00073	picornavirus capsid protein	IPR001676	NULL
PF00074	Pancreatic ribonuclease	IPR023412	NULL
PF00075	RNase H	IPR002156	NULL
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	IPR000504	NULL
PF00077	Retroviral aspartyl protease	IPR018061	NULL
PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	IPR000477	NULL
PF00079	Serpin (serine protease inhibitor)	IPR023796	NULL
PF00080	Copper/zinc superoxide dismutase (SODC)	IPR001424	NULL
PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain	IPR019831	NULL
PF00082	Subtilase family	IPR000209	NULL
PF00083	Sugar (and other) transporter	IPR005828	NULL
PF00084	Sushi domain (SCR repeat)	IPR000436	NULL
PF00085	Thioredoxin	IPR013766	NULL
PF00086	Thyroglobulin type-1 repeat	IPR000716	NULL
PF00087	Snake toxin	IPR003571	NULL
PF00088	Trefoil (P-type) domain	IPR000519	NULL
PF00089	Trypsin	IPR001254	NULL
PF00090	Thrombospondin type 1 domain	IPR000884	NULL
PF00091	Tubulin/FtsZ family, GTPase domain	IPR003008	NULL
PF00092	von Willebrand factor type A domain	IPR002035	NULL
PF00093	von Willebrand factor type C domain	IPR001007	NULL
PF00094	von Willebrand factor type D domain	IPR001846	NULL
PF00095	WAP-type (Whey Acidic Protein) 'four-disulfide core'	IPR008197	NULL
PF00096	Zinc finger, C2H2 type	IPR007087	NULL
PF00097	Zinc finger, C3HC4 type (RING finger)	IPR018957	NULL
PF00098	Zinc knuckle	IPR001878	NULL
PF00100	Zona pellucida-like domain	IPR001507	NULL
PF00101	Ribulose bisphosphate carboxylase, small chain	IPR000894	NULL
PF00102	Protein-tyrosine phosphatase	IPR000242	NULL
PF00103	Somatotropin hormone family	IPR001400	NULL
PF00104	Ligand-binding domain of nuclear hormone receptor	IPR000536	NULL
PF00105	Zinc finger, C4 type (two domains)	IPR001628	NULL
PF00106	short chain dehydrogenase	IPR002198	NULL
PF00107	Zinc-binding dehydrogenase	IPR013149	NULL
PF00108	Thiolase, N-terminal domain	IPR020616	NULL
PF00109	Beta-ketoacyl synthase, N-terminal domain	IPR014030	NULL
PF00110	wnt family	IPR005817	NULL
PF00111	2Fe-2S iron-sulfur cluster binding domain	IPR001041	NULL
PF00112	Papain family cysteine protease	IPR000668	NULL
PF00113	Enolase, C-terminal TIM barrel domain	IPR020810	NULL
PF00114	Pilin (bacterial filament)	IPR001082	NULL
PF00115	Cytochrome C and Quinol oxidase polypeptide I	IPR000883	NULL
PF00116	Cytochrome C oxidase subunit II, periplasmic domain	IPR002429	NULL
PF00117	Glutamine amidotransferase class-I	IPR017926	NULL
PF00118	TCP-1/cpn60 chaperonin family	IPR002423	NULL
PF00119	ATP synthase A chain	IPR000568	NULL
PF00120	Glutamine synthetase, catalytic domain	IPR008146	NULL
PF00121	Triosephosphate isomerase	IPR000652	NULL
PF00122	E1-E2 ATPase	IPR008250	NULL
PF00123	Peptide hormone	IPR000532	NULL
PF00124	Photosynthetic reaction centre protein	IPR000484	NULL
PF00125	Core histone H2A/H2B/H3/H4	IPR007125	NULL
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	IPR000847	NULL
PF00127	Copper binding proteins, plastocyanin/azurin family	IPR000923	NULL
PF00128	Alpha amylase, catalytic domain	IPR006047	NULL
PF00129	Class I Histocompatibility antigen, domains alpha 1 and 2	IPR001039	NULL
PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	IPR002219	NULL
PF00131	Metallothionein	IPR003019	NULL
PF00132	Bacterial transferase hexapeptide (six repeats)	IPR001451	NULL
PF00133	tRNA synthetases class I (I, L, M and V)	IPR002300	NULL
PF00134	Cyclin, N-terminal domain	IPR006671	NULL
PF00135	Carboxylesterase family	IPR002018	NULL
PF00136	DNA polymerase family B	IPR006134	NULL
PF00137	ATP synthase subunit C	IPR002379	NULL
PF00139	Legume lectin domain	IPR001220	NULL
PF00140	Sigma-70 factor, region 1.2	IPR009042	NULL
PF00141	Peroxidase	IPR002016	NULL
PF00142	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	IPR000392	NULL
PF00143	Interferon alpha/beta domain	IPR000471	NULL
PF00144	Beta-lactamase	IPR001466	NULL
PF00145	C-5 cytosine-specific DNA methylase	IPR001525	NULL
PF00146	NADH dehydrogenase	IPR001694	NULL
PF00147	Fibrinogen beta and gamma chains, C-terminal globular domain	IPR002181	NULL
PF00148	Nitrogenase component 1 type Oxidoreductase	IPR000510	NULL
PF00149	Calcineurin-like phosphoesterase	IPR004843	NULL
PF00150	Cellulase (glycosyl hydrolase family 5)	IPR001547	NULL
PF00151	Lipase	IPR013818	NULL
PF00152	tRNA synthetases class II (D, K and N) 	IPR004364	NULL
PF00153	Mitochondrial carrier protein	IPR018108	NULL
PF00154	recA bacterial DNA recombination protein	IPR013765	NULL
PF00155	Aminotransferase class I and II	IPR004839	NULL
PF00156	Phosphoribosyl transferase domain	IPR000836	NULL
PF00157	Pou domain - N-terminal to homeobox domain	IPR000327	NULL
PF00158	Sigma-54 interaction domain	IPR002078	NULL
PF00159	Pancreatic hormone peptide	IPR001955	NULL
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	IPR002130	NULL
PF00161	Ribosome inactivating protein	IPR001574	NULL
PF00162	Phosphoglycerate kinase	IPR001576	NULL
PF00163	Ribosomal protein S4/S9 N-terminal domain	IPR001912	NULL
PF00164	Ribosomal protein S12	IPR006032	NULL
PF00165	Bacterial regulatory helix-turn-helix proteins, AraC family	NULL	NULL
PF00166	Chaperonin 10 Kd subunit	IPR020818	NULL
PF00167	Fibroblast growth factor	IPR002348	NULL
PF00168	C2 domain	IPR000008	NULL
PF00169	PH domain	IPR001849	NULL
PF00170	bZIP transcription factor	IPR011616	NULL
PF00171	Aldehyde dehydrogenase family	IPR015590	NULL
PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	IPR001138	NULL
PF00173	Cytochrome b5-like Heme/Steroid binding domain	IPR001199	NULL
PF00174	Oxidoreductase molybdopterin binding domain	IPR000572	NULL
PF00175	Oxidoreductase NAD-binding domain 	IPR001433	NULL
PF00176	SNF2 family N-terminal domain	IPR000330	NULL
PF00177	Ribosomal protein S7p/S5e	IPR023798	NULL
PF00178	Ets-domain	IPR000418	NULL
PF00179	Ubiquitin-conjugating enzyme	IPR000608	NULL
PF00180	Isocitrate/isopropylmalate dehydrogenase	IPR024084	NULL
PF00181	Ribosomal Proteins L2, RNA binding domain	IPR022666	NULL
PF00182	Chitinase class I	IPR000726	NULL
PF00183	Hsp90 protein	IPR001404	NULL
PF00184	Neurohypophysial hormones, C-terminal Domain	IPR000981	NULL
PF00185	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	IPR006131	NULL
PF00186	Dihydrofolate reductase	IPR001796	NULL
PF00187	Chitin recognition protein	IPR001002	NULL
PF00188	Cysteine-rich secretory protein family	IPR014044	NULL
PF00189	Ribosomal protein S3, C-terminal domain	IPR001351	NULL
PF00190	Cupin	IPR006045	NULL
PF00191	Annexin	IPR018502	NULL
PF00193	Extracellular link domain	IPR000538	NULL
PF00194	Eukaryotic-type carbonic anhydrase	IPR001148	NULL
PF00195	Chalcone and stilbene synthases, N-terminal domain	IPR001099	NULL
PF00196	Bacterial regulatory proteins, luxR family	IPR000792	NULL
PF00197	Trypsin and protease inhibitor	IPR002160	NULL
PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	IPR001078	NULL
PF00199	Catalase	IPR011614	NULL
PF00200	Disintegrin	IPR001762	NULL
PF00201	UDP-glucoronosyl and UDP-glucosyl transferase	IPR002213	NULL
PF00202	Aminotransferase class-III	IPR005814	NULL
PF00203	Ribosomal protein S19	IPR002222	NULL
PF00204	DNA gyrase B	IPR013506	NULL
PF00205	Thiamine pyrophosphate enzyme, central domain	IPR012000	NULL
PF00206	Lyase	IPR022761	NULL
PF00207	Alpha-2-macroglobulin family	IPR001599	NULL
PF00208	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	IPR006096	NULL
PF00209	Sodium:neurotransmitter symporter family	IPR000175	NULL
PF00210	Ferritin-like domain	IPR008331	NULL
PF00211	Adenylate and Guanylate cyclase catalytic domain	IPR001054	NULL
PF00212	Atrial natriuretic peptide	IPR000663	NULL
PF00213	ATP synthase delta (OSCP) subunit	IPR000711	NULL
PF00214	Calcitonin / CGRP / IAPP family	IPR021116	NULL
PF00215	Orotidine 5'-phosphate decarboxylase / HUMPS family	IPR001754	NULL
PF00216	Bacterial DNA-binding protein	IPR000119	NULL
PF00217	ATP:guanido phosphotransferase, C-terminal catalytic domain	IPR022414	NULL
PF00218	Indole-3-glycerol phosphate synthase	IPR013798	NULL
PF00219	Insulin-like growth factor binding protein	IPR000867	NULL
PF00220	Neurohypophysial hormones, N-terminal Domain	IPR022423	NULL
PF00221	Aromatic amino acid lyase	IPR001106	NULL
PF00223	Photosystem I psaA/psaB protein	IPR001280	NULL
PF00224	Pyruvate kinase, barrel domain	IPR015793	NULL
PF00225	Kinesin motor domain	IPR001752	NULL
PF00226	DnaJ domain	IPR001623	NULL
PF00227	Proteasome subunit	IPR001353	NULL
PF00228	Bowman-Birk serine protease inhibitor family	IPR000877	NULL
PF00229	TNF(Tumour Necrosis Factor) family 	IPR006052	NULL
PF00230	Major intrinsic protein	IPR000425	NULL
PF00231	ATP synthase	IPR000131	NULL
PF00232	Glycosyl hydrolase family 1	IPR001360	NULL
PF00233	3'5'-cyclic nucleotide phosphodiesterase	IPR002073	NULL
PF00234	Protease inhibitor/seed storage/LTP family	IPR016140	NULL
PF00235	Profilin	IPR002097	NULL
PF00236	Glycoprotein hormone	IPR000476	NULL
PF00237	Ribosomal protein L22p/L17e	IPR001063	NULL
PF00238	Ribosomal protein L14p/L23e	IPR000218	NULL
PF00239	Resolvase, N terminal domain	IPR006119	NULL
PF00240	Ubiquitin family	IPR000626	NULL
PF00241	Cofilin/tropomyosin-type actin-binding protein	IPR002108	NULL
PF00242	DNA polymerase (viral) N-terminal domain	IPR000201	NULL
PF00243	Nerve growth factor family	IPR002072	NULL
PF00244	14-3-3 protein	IPR023410	NULL
PF00245	Alkaline phosphatase	IPR001952	NULL
PF00246	Zinc carboxypeptidase	IPR000834	NULL
PF00248	Aldo/keto reductase family	IPR023210	NULL
PF00249	Myb-like DNA-binding domain	IPR001005	NULL
PF00250	Fork head domain	IPR001766	NULL
PF00251	Glycosyl hydrolases family 32 N-terminal domain	IPR013148	NULL
PF00252	Ribosomal protein L16p/L10e	IPR016180	NULL
PF00253	Ribosomal protein S14p/S29e	IPR001209	NULL
PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase	IPR001179	NULL
PF00255	Glutathione peroxidase	IPR000889	NULL
PF00257	Dehydrin	IPR000167	NULL
PF00258	Flavodoxin	IPR008254	NULL
PF00260	Protamine P1	IPR000221	NULL
PF00261	Tropomyosin	IPR000533	NULL
PF00262	Calreticulin family	IPR001580	NULL
PF00263	Bacterial type II and III secretion system protein	IPR004846	NULL
PF00264	Common central domain of tyrosinase	IPR002227	NULL
PF00265	Thymidine kinase	IPR001267	NULL
PF00266	Aminotransferase class-V	IPR000192	NULL
PF00267	Gram-negative porin	IPR001702	NULL
PF00268	Ribonucleotide reductase, small chain	IPR000358	NULL
PF00269	Small, acid-soluble spore proteins, alpha/beta type	IPR001448	NULL
PF00270	DEAD/DEAH box helicase	IPR011545	NULL
PF00271	Helicase conserved C-terminal domain	IPR001650	NULL
PF00272	Cecropin family	IPR000875	NULL
PF00273	Serum albumin family	IPR014760	NULL
PF00274	Fructose-bisphosphate aldolase class-I	IPR000741	NULL
PF00275	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	IPR001986	NULL
PF00276	Ribosomal protein L23	IPR013025	NULL
PF00277	Serum amyloid A protein	IPR000096	NULL
PF00278	Pyridoxal-dependent decarboxylase, C-terminal sheet domain	IPR022643	NULL
PF00280	Potato inhibitor I family	IPR000864	NULL
PF00281	Ribosomal protein L5	IPR002132	NULL
PF00282	Pyridoxal-dependent decarboxylase conserved domain	IPR002129	NULL
PF00283	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits	IPR013081	NULL
PF00284	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit	IPR013082	NULL
PF00285	Citrate synthase	IPR002020	NULL
PF00286	Viral coat protein	IPR000052	NULL
PF00287	Sodium / potassium ATPase beta chain	IPR000402	NULL
PF00288	GHMP kinases N terminal domain	IPR006204	NULL
PF00289	Carbamoyl-phosphate synthase L chain, N-terminal domain	IPR005481	NULL
PF00290	Tryptophan synthase alpha chain	IPR002028	NULL
PF00291	Pyridoxal-phosphate dependent enzyme	IPR001926	NULL
PF00292	'Paired box' domain	IPR001523	NULL
PF00293	NUDIX domain	IPR000086	NULL
PF00294	pfkB family carbohydrate kinase	IPR011611	NULL
PF00295	Glycosyl hydrolases family 28	IPR000743	NULL
PF00296	Luciferase-like monooxygenase	IPR011251	NULL
PF00297	Ribosomal protein L3	IPR000597	NULL
PF00298	Ribosomal protein L11, RNA binding domain	IPR020783	NULL
PF00299	Squash family serine protease inhibitor	IPR000737	NULL
PF00300	Histidine phosphatase superfamily (branch 1)	IPR013078	NULL
PF00301	Rubredoxin	IPR024935	NULL
PF00302	Chloramphenicol acetyltransferase	IPR001707	NULL
PF00303	Thymidylate synthase	IPR000398	NULL
PF00304	Gamma-thionin family	IPR008176	NULL
PF00305	Lipoxygenase	IPR013819	NULL
PF00306	ATP synthase alpha/beta chain, C terminal domain	IPR000793	NULL
PF00307	Calponin homology (CH) domain	IPR001715	NULL
PF00308	Bacterial dnaA  protein	IPR013317	NULL
PF00309	Sigma-54 factor, Activator interacting domain (AID) 	IPR000394	NULL
PF00310	Glutamine amidotransferases class-II	IPR000583	NULL
PF00311	Phosphoenolpyruvate carboxylase	IPR021135	NULL
PF00312	Ribosomal protein S15	IPR000589	NULL
PF00313	'Cold-shock' DNA-binding domain	IPR002059	NULL
PF00314	Thaumatin family	IPR001938	NULL
PF00316	Fructose-1-6-bisphosphatase	IPR000146	NULL
PF00317	Ribonucleotide reductase, all-alpha domain	IPR013509	NULL
PF00318	Ribosomal protein S2	IPR001865	NULL
PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)	IPR002100	NULL
PF00320	GATA zinc finger	IPR000679	NULL
PF00321	Plant thionin	IPR001010	NULL
PF00322	Endothelin family	IPR001928	NULL
PF00323	Mammalian defensin	IPR006081	NULL
PF00324	Amino acid permease	IPR004841	NULL
PF00325	Bacterial regulatory proteins, crp family	IPR001808	NULL
PF00326	Prolyl oligopeptidase family	IPR001375	NULL
PF00327	Ribosomal protein L30p/L7e	IPR016082	NULL
PF00328	Histidine phosphatase superfamily (branch 2)	IPR000560	NULL
PF00329	Respiratory-chain NADH dehydrogenase, 30 Kd subunit	IPR001268	NULL
PF00330	Aconitase family (aconitate hydratase)	IPR001030	NULL
PF00331	Glycosyl hydrolase family 10	IPR001000	NULL
PF00332	Glycosyl hydrolases family 17	IPR000490	NULL
PF00333	Ribosomal protein S5, N-terminal domain	IPR013810	NULL
PF00334	Nucleoside diphosphate kinase	IPR001564	NULL
PF00335	Tetraspanin family	IPR018499	NULL
PF00336	DNA polymerase (viral) C-terminal domain	IPR001462	NULL
PF00337	Galactoside-binding lectin	IPR001079	NULL
PF00338	Ribosomal protein S10p/S20e	IPR001848	NULL
PF00339	Arrestin (or S-antigen), N-terminal domain	IPR011021	NULL
PF00340	Interleukin-1 / 18	IPR000975	NULL
PF00341	Platelet-derived growth factor (PDGF)	IPR000072	NULL
PF00342	Phosphoglucose isomerase	IPR001672	NULL
PF00343	Carbohydrate phosphorylase	IPR000811	NULL
PF00344	SecY translocase	IPR002208	NULL
PF00345	Gram-negative pili assembly chaperone, N-terminal domain	IPR016147	NULL
PF00346	Respiratory-chain NADH dehydrogenase, 49 Kd subunit	IPR001135	NULL
PF00347	Ribosomal protein L6	IPR020040	NULL
PF00348	Polyprenyl synthetase	IPR000092	NULL
PF00349	Hexokinase	IPR022672	NULL
PF00350	Dynamin family	IPR001401	NULL
PF00351	Biopterin-dependent aromatic amino acid hydroxylase	IPR019774	NULL
PF00352	Transcription factor TFIID (or TATA-binding protein, TBP)	IPR000814	NULL
PF00353	Hemolysin-type calcium-binding repeat (2 copies)	IPR001343	NULL
PF00354	Pentaxin family	IPR001759	NULL
PF00355	Rieske [2Fe-2S] domain	IPR017941	NULL
PF00356	Bacterial regulatory proteins, lacI family	IPR000843	NULL
PF00357	Integrin alpha cytoplasmic region	IPR018184	NULL
PF00358	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	IPR001127	NULL
PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	IPR002178	NULL
PF00360	Phytochrome region	IPR013515	NULL
PF00361	NADH-Ubiquinone/plastoquinone (complex I), various chains	IPR001750	NULL
PF00362	Integrin, beta chain	IPR002369	NULL
PF00363	Casein	IPR001588	NULL
PF00364	Biotin-requiring enzyme	IPR000089	NULL
PF00365	Phosphofructokinase	IPR000023	NULL
PF00366	Ribosomal protein S17	IPR000266	NULL
PF00367	phosphotransferase system, EIIB	IPR018113	NULL
PF00368	Hydroxymethylglutaryl-coenzyme A reductase	IPR002202	NULL
PF00370	FGGY family of carbohydrate kinases, N-terminal domain	IPR018484	NULL
PF00372	Hemocyanin, copper containing domain	IPR000896	NULL
PF00373	FERM central domain	IPR019748	NULL
PF00374	Nickel-dependent hydrogenase	IPR001501	NULL
PF00375	Sodium:dicarboxylate symporter family	IPR001991	NULL
PF00376	MerR family regulatory protein	IPR000551	NULL
PF00377	Prion/Doppel alpha-helical domain	IPR022416	NULL
PF00378	Enoyl-CoA hydratase/isomerase family	IPR001753	NULL
PF00379	Insect cuticle protein	IPR000618	NULL
PF00380	Ribosomal protein S9/S16	IPR000754	NULL
PF00381	PTS HPr component phosphorylation site	IPR005698	NULL
PF00382	Transcription factor TFIIB repeat	IPR013150	NULL
PF00383	Cytidine and deoxycytidylate deaminase zinc-binding region	IPR002125	NULL
PF00384	Molybdopterin oxidoreductase	IPR006656	NULL
PF00385	Chromo (CHRromatin Organisation MOdifier) domain	IPR023780	NULL
PF00386	C1q domain	IPR001073	NULL
PF00387	Phosphatidylinositol-specific phospholipase C, Y domain	IPR001711	NULL
PF00388	Phosphatidylinositol-specific phospholipase C, X domain	IPR000909	NULL
PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	IPR006139	NULL
PF00390	Malic enzyme, N-terminal domain	IPR012301	NULL
PF00391	PEP-utilising enzyme, mobile domain	IPR008279	NULL
PF00392	Bacterial regulatory proteins, gntR family	IPR000524	NULL
PF00393	6-phosphogluconate dehydrogenase, C-terminal domain	IPR006114	NULL
PF00394	Multicopper oxidase	IPR001117	NULL
PF00395	S-layer homology domain	IPR001119	NULL
PF00396	Granulin	IPR000118	NULL
PF00397	WW domain	IPR001202	NULL
PF00398	Ribosomal RNA adenine dimethylase	IPR001737	NULL
PF00399	Yeast PIR protein repeat	IPR000420	NULL
PF00400	WD domain, G-beta repeat	IPR001680	NULL
PF00401	ATP synthase, Delta/Epsilon chain, long alpha-helix domain	IPR020547	NULL
PF00402	Calponin family repeat	IPR000557	NULL
PF00403	Heavy-metal-associated domain	IPR006121	NULL
PF00404	Dockerin type I repeat	IPR018242	NULL
PF00405	Transferrin	IPR001156	NULL
PF00406	Adenylate kinase	IPR000850	NULL
PF00407	Pathogenesis-related protein Bet v I family	IPR000916	NULL
PF00408	Phosphoglucomutase/phosphomannomutase, C-terminal domain	IPR005843	NULL
PF00410	Ribosomal protein S8	IPR000630	NULL
PF00411	Ribosomal protein S11	IPR001971	NULL
PF00412	LIM domain	IPR001781	NULL
PF00413	Matrixin	IPR001818	NULL
PF00414	Neuraxin and MAP1B repeat	IPR000102	NULL
PF00415	Regulator of chromosome condensation (RCC1) repeat	IPR000408	NULL
PF00416	Ribosomal protein S13/S18	IPR001892	NULL
PF00417	dead pfamnumber	NULL	NULL
PF00418	Tau and MAP protein, tubulin-binding repeat	IPR001084	NULL
PF00419	Fimbrial protein	IPR000259	NULL
PF00420	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	IPR001133	NULL
PF00421	Photosystem II protein	IPR000932	NULL
PF00423	Haemagglutinin-neuraminidase	IPR000665	NULL
PF00424	REV protein (anti-repression trans-activator protein)	IPR000625	NULL
PF00425	chorismate binding enzyme	IPR015890	NULL
PF00426	Outer Capsid protein VP4 (Hemagglutinin)	IPR000416	NULL
PF00427	Phycobilisome Linker polypeptide	IPR001297	NULL
PF00428	60s Acidic ribosomal protein	IPR001813	NULL
PF00429	ENV polyprotein (coat polyprotein)	IPR018154	NULL
PF00430	ATP synthase B/B' CF(0)	IPR002146	NULL
PF00431	CUB domain	IPR000859	NULL
PF00432	Prenyltransferase and squalene oxidase repeat	IPR001330	NULL
PF00433	Protein kinase C terminal domain	IPR017892	NULL
PF00434	Glycoprotein VP7	IPR001963	NULL
PF00435	Spectrin repeat	IPR002017	NULL
PF00436	Single-strand binding protein family	IPR000424	NULL
PF00437	Type II/IV secretion system protein	IPR001482	NULL
PF00438	S-adenosylmethionine synthetase, N-terminal domain	IPR022628	NULL
PF00439	Bromodomain	IPR001487	NULL
PF00440	Bacterial regulatory proteins, tetR family	IPR001647	NULL
PF00441	Acyl-CoA dehydrogenase, C-terminal domain	IPR006090	NULL
PF00443	Ubiquitin carboxyl-terminal hydrolase	IPR001394	NULL
PF00444	Ribosomal protein L36	IPR000473	NULL
PF00445	Ribonuclease T2 family	IPR001568	NULL
PF00446	Gonadotropin-releasing hormone	IPR002012	NULL
PF00447	HSF-type DNA-binding	IPR000232	NULL
PF00448	SRP54-type protein, GTPase domain	IPR000897	NULL
PF00449	Urease alpha-subunit, N-terminal domain	IPR011612	NULL
PF00450	Serine carboxypeptidase	IPR001563	NULL
PF00451	Scorpion short toxin, BmKK2	IPR001947	NULL
PF00452	Apoptosis regulator proteins, Bcl-2 family	IPR000712	NULL
PF00453	Ribosomal protein L20	IPR005813	NULL
PF00454	Phosphatidylinositol 3- and 4-kinase	IPR000403	NULL
PF00455	DeoR C terminal sensor domain	IPR014036	NULL
PF00456	Transketolase, thiamine diphosphate binding domain	IPR005474	NULL
PF00457	Glycosyl hydrolases family 11	IPR001137	NULL
PF00458	WHEP-TRS domain	IPR000738	NULL
PF00459	Inositol monophosphatase family	IPR000760	NULL
PF00460	Flagella basal body rod protein	IPR001444	NULL
PF00462	Glutaredoxin	IPR002109	NULL
PF00463	Isocitrate lyase family	IPR000918	NULL
PF00464	Serine hydroxymethyltransferase	IPR001085	NULL
PF00465	Iron-containing alcohol dehydrogenase 	IPR001670	NULL
PF00466	Ribosomal protein L10	IPR001790	NULL
PF00467	KOW motif	IPR005824	NULL
PF00468	Ribosomal protein L34	IPR000271	NULL
PF00469	Negative factor, (F-Protein) or Nef	IPR001558	NULL
PF00471	Ribosomal protein L33	IPR001705	NULL
PF00472	RF-1 domain	IPR000352	NULL
PF00473	Corticotropin-releasing factor family	IPR000187	NULL
PF00474	Sodium:solute symporter family	IPR001734	NULL
PF00475	Imidazoleglycerol-phosphate dehydratase	IPR000807	NULL
PF00476	DNA polymerase family A	IPR001098	NULL
PF00477	Small hydrophilic plant seed protein	IPR000389	NULL
PF00478	IMP dehydrogenase / GMP reductase domain	IPR001093	NULL
PF00479	Glucose-6-phosphate dehydrogenase, NAD binding domain	IPR022674	NULL
PF00480	ROK family	IPR000600	NULL
PF00481	Protein phosphatase 2C	IPR001932	NULL
